year,urban_mean,urban_stddev,suburban_mean,suburban_stddev,temperature_difference,image_count
2013.0,37.9682702709455,4.381857565064569,36.36705354299879,3.5141150272031503,1.6012167279467135,6
2014.0,37.092483083097044,3.3741087393473284,36.37477768204133,2.832041504392366,0.71770540105571,1
2015.0,24.2427825897999,8.009194030721739,22.06587191055739,10.096536969677766,2.1769106792425106,5
2016.0,32.55512275631286,3.4021756901859788,27.26010114493276,2.0585712512175234,5.2950216113801005,1
2017.0,42.38079813410334,4.090222212958461,40.533536327118654,3.1175302285616797,1.8472618069846831,2
2018.0,35.1911852038315,4.5301163994483815,34.54168377444643,5.2534254563398335,0.6495014293850687,3
2019.0,41.50147924068446,8.235999830666037,37.260808155767876,6.690215644949104,4.240671084916585,4
2020.0,33.0218931005182,7.050669754305347,31.063227565126375,6.620240003680178,1.9586655353918232,4
2021.0,42.93766186015701,5.135543501246427,39.70973645351437,5.315907668534458,3.2279254066426404,5
2022.0,38.093106937798765,5.082656950733118,36.55992300543188,4.985697041363627,1.5331839323668888,2
2023.0,42.93321786375427,3.6813407343316764,41.88575340390477,3.2840440792397945,1.0474644598495004,2
